"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Kai Jones","1.84","C","CHA","CLE","2.1","3,700","0.50","-16.66"
,"1.81","PF/C","NOP","BOS","1.5","3,700","0.49","-16.69"
"Nerlens Noel","1.66","C","DET","LAL","1.7","3,600","0.46","-16.34"
"Xavier Tillman Sr.","1.61","PF","MEM","OKC","1.6","3,500","0.46","-15.89"
"Derrick Jones Jr.","1.52","SF/PF","CHI","ORL","1.9","3,500","0.43","-15.98"
"Raul Neto","1.51","PG","CLE","CHA","2.1","3,500","0.43","-15.99"
"Robin Lopez","1.49","C","CLE","CHA","2.1","3,500","0.42","-16.01"
"Frank Ntilikina","1.49","PG","DAL","DEN","2.1","3,500","0.42","-16.01"
"Kennedy Chandler","1.48","PG","MEM","OKC","1.6","3,500","0.42","-16.02"
"Theo Pinson","1.44","SG/SF","DAL","DEN","2.1","3,500","0.41","-16.06"
"Peyton Watson","1.43","SG","DEN","DAL","2.1","3,500","0.41","-16.07"
"Isaiah Mobley","1.41","PF","CLE","CHA","2.1","3,500","0.40","-16.09"
"Terry Taylor","1.41","SG/SF","IND","HOU","1.7","3,600","0.39","-16.59"
"Duncan Robinson","1.40","SG/SF","MIA","WAS","1.7","3,700","0.38","-17.10"
"Udoka Azubuike","1.40","C","UTA","PHX","1.4","3,500","0.40","-16.10"
"Jordan Goodwin","1.40","PG","WAS","MIA","1.7","4,700","0.30","-22.10"
"Ty Jerome","1.39","PG","GSW","NYK","1.7","3,900","0.36","-18.11"
"Kevin Knox","1.35","SF/PF","DET","LAL","1.7","3,500","0.39","-16.15"
"Jaxson Hayes","1.33","PF","NOP","BOS","1.5","3,500","0.38","-16.17"
"Rodney McGruder","1.32","SG","DET","LAL","1.7","3,500","0.38","-16.18"
"Ryan Rollins","1.30","SG","GSW","NYK","1.7","3,500","0.37","-16.20"
"Svi Mykhailiuk","1.30","SG","NYK","GSW","1.7","3,500","0.37","-16.20"
"Gary Harris","1.29","SG/SF","ORL","CHI","1.9","3,500","0.37","-16.21"
"Quentin Grimes","1.27","SG/SF","NYK","GSW","1.7","3,500","0.36","-16.23"
"Miles McBride","1.26","PG","NYK","GSW","1.7","3,500","0.36","-16.24"
"Nickeil Alexander-Walker","1.20","SG/SF","UTA","PHX","1.4","3,500","0.34","-16.30"
"Anthony Gill","1.18","PF","WAS","MIA","1.7","3,700","0.32","-17.32"
"Ish Wainright","1.04","SF","PHX","UTA","1.4","3,500","0.30","-16.46"
