"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Grant Williams",,"SF/PF","BOS","NOP",,"5,100",,
"Mo Bamba",,"C","ORL","CHI",,"5,000",,
"Santi Aldama",,"PF","MEM","OKC",,"5,000",,
"Grayson Allen",,"SG/SF","MIL","PHI",,"4,900",,
"Jalen McDaniels",,"SF/PF","CHA","CLE",,"4,700",,
"Dennis Schröder",,"PG","LAL","DET",,"4,700",,
"Tyus Jones",,"PG","MEM","OKC",,"4,600",,
"Collin Sexton",,"PG/SG","UTA","PHX",,"4,600",,
"Larry Nance Jr.",,"PF/C","NOP","BOS",,"4,500",,
"Dwight Powell",,"C","DAL","DEN",,"4,400",,
"Rui Hachimura",,"PF","WAS","MIA",,"4,400",,
"Dorian Finney-Smith",,"PF","DAL","DEN",,"4,300",,
"Andrew Nembhard",,"PG/SG","IND","HOU",,"4,100",,
"Georges Niang",,"PF","PHI","MIL",,"4,100",,
"Goran Dragić",,"PG","CHI","ORL",,"4,000",,
"Payton Pritchard",,"PG","BOS","NOP",,"4,000",,
"MarJon Beauchamp",,"SF","MIL","PHI",,"4,000",,
"Théo Maledon",,"PG","CHA","CLE",,"3,900",,
"Sam Hauser",,"SF/PF","BOS","NOP",,"3,900",,
"Jordan Nwora",,"PF","MIL","PHI",,"3,900",,
"Alex Caruso",,"PG/SG","CHI","ORL",,"3,700",,
"Jericho Sims",,"PF/C","NYK","GSW",,"3,700",,
"Anthony Lamb",,"PF","GSW","NYK",,"3,700",,
"Terrence Ross",,"SG/SF","ORL","CHI",,"3,600",,
"Lamar Stevens",,"SF","CLE","CHA",,"3,500",,
"Nick Richards",,"C","CHA","CLE",,"3,500",,
"Reggie Bullock",,"SF","DAL","DEN",,"3,500",,
"Kenrich Williams",,"SF/PF","OKC","MEM",,"3,500",,
"Jose Alvarado",,"PG","NOP","BOS",,"3,500",,
"Talen Horton-Tucker",,"SG/SF","UTA","PHX",,"3,500",,
"Aaron Nesmith",,"SF","IND","HOU",,"3,500",,
"Cedi Osman",,"SG/SF","CLE","CHA",,"3,400",,
"Jeremiah Robinson-Earl",,"C","OKC","MEM",,"3,400",,
"Corey Kispert",,"SG/SF","WAS","MIA",,"3,400",,
"Walker Kessler",,"C","UTA","PHX",,"3,400",,
"Jonathan Kuminga",,"PF/C","GSW","NYK",,"3,400",,
"T.J. McConnell",,"PG","IND","HOU",,"3,400",,
"Javonte Green",,"SF/PF","CHI","ORL",,"3,300",,
"Josh Green",,"SF","DAL","DEN",,"3,300",,
"David Roddy",,"SG/SF","MEM","OKC",,"3,300",,
"Lindy Waters III",,"SG/SF","OKC","MEM",,"3,300",,
"Luke Kornet",,"PF/C","BOS","NOP",,"3,300",,
"Naji Marshall",,"SF/PF","NOP","BOS",,"3,300",,
