"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Pat Connaughton","0.00","SG/SF","MIL","PHI","0.0","4,100","0.00","-20.50"
"Wesley Matthews","0.00","SG/SF","MIL","PHI","0.0","3,200","0.00","-16.00"
"Garrett Temple","0.00","PG/SF","NOP","BOS","0.0","3,000","0.00","-15.00"
"Dereon Seabron","0.00","SF","NOP","BOS","0.0","3,000","0.00","-15.00"
"Zion Williamson","0.00","PF","NOP","BOS","0.0","8,800","0.00","-44.00"
"Mitchell Robinson","0.00","C","NYK","GSW","0.0","5,000","0.00","-25.00"
"Tre Mann","0.00","PG/SG","OKC","MEM","0.0","4,200","0.00","-21.00"
"Isaiah Joe","0.00","SG","OKC","MEM","0.0","3,000","0.00","-15.00"
"Ousmane Dieng","0.00","SF","OKC","MEM","0.0","3,000","0.00","-15.00"
"Eugene Omoruyi","0.00","SF/PF","OKC","MEM","0.0","3,000","0.00","-15.00"
"Cole Anthony","0.00","PG","ORL","CHI","0.0","5,900","0.00","-29.50"
"Paolo Banchero","0.00","SF/PF","ORL","CHI","0.0","8,600","0.00","-43.00"
"Moritz Wagner","0.00","PF/C","ORL","CHI","0.0","4,900","0.00","-24.50"
"James Harden","0.00","PG","PHI","MIL","0.0","9,600","0.00","-48.00"
"Tobias Harris","0.00","SF/PF","PHI","MIL","0.0","7,100","0.00","-35.50"
"Furkan Korkmaz","0.00","SG/SF","PHI","MIL","0.0","3,000","0.00","-15.00"
"Jaden Springer","0.00","SG","PHI","MIL","0.0","3,000","0.00","-15.00"
"Chris Paul","0.00","PG","PHX","UTA","0.0","7,600","0.00","-38.00"
"Jae Crowder","0.00","PF","PHX","UTA","0.0","4,800","0.00","-24.00"
"Cameron Johnson","0.00","PF","PHX","UTA","0.0","5,500","0.00","-27.50"
"Leandro Bolmaro","0.00","PG","UTA","PHX","0.0","3,000","0.00","-15.00"
"Ochai Agbaji","0.00","SG/SF","UTA","PHX","0.0","3,000","0.00","-15.00"
"Rudy Gay","0.00","PF","UTA","PHX","0.0","3,300","0.00","-16.50"
"Johnny Davis","0.00","PG","WAS","MIA","0.0","3,000","0.00","-15.00"
"Delon Wright","0.00","PG","WAS","MIA","0.0","4,300","0.00","-21.50"
"Taj Gibson","0.00","C","WAS","MIA","0.0","3,000","0.00","-15.00"
"Vernon Carey Jr.","0.00","C","WAS","MIA","0.0","3,000","0.00","-15.00"
